noise,delta,mean,lower,upper
5,0.02,1.0,1.0,1.0
5,0.04,1.0,1.0,1.0
5,0.06,1.0,1.0,1.0
5,0.08,1.0,1.0,1.0
5,0.1,1.0,1.0,1.0
5,0.12,1.0,1.0,1.0
5,0.14,1.0,1.0,1.0
5,0.16,1.0,1.0,1.0
5,0.18,1.0,1.0,1.0
5,0.2,1.0,1.0,1.0
5,0.22,1.0,1.0,1.0
5,0.24,1.0,1.0,1.0
5,0.26,1.0,1.0,1.0
5,0.28,1.0,1.0,1.0
5,0.3,1.0,1.0,1.0
5,0.32,1.0,1.0,1.0
5,0.34,1.0,1.0,1.0
5,0.36,1.0,1.0,1.0
5,0.38,1.0,1.0,1.0
5,0.4,1.0,1.0,1.0
5,0.42,1.0,1.0,1.0
5,0.44,1.0,1.0,1.0
5,0.46,1.0,1.0,1.0
5,0.48,1.0,1.0,1.0
5,0.5,1.0,1.0,1.0
50,0.02,0.97,0.935981273413217,1.004018726586783
50,0.04,0.97,0.935981273413217,1.004018726586783
50,0.06,0.99,0.9701578304849132,1.0098421695150868
50,0.08,0.96,0.9209215643219727,0.9990784356780272
50,0.1,0.98,0.9520810170207759,1.007918982979224
50,0.12,0.98,0.9520810170207759,1.007918982979224
50,0.14,0.98,0.9520810170207759,1.007918982979224
50,0.16,0.97,0.935981273413217,1.004018726586783
50,0.18,0.99,0.9701578304849132,1.0098421695150868
50,0.2,0.99,0.9701578304849132,1.0098421695150868
50,0.22,0.98,0.9520810170207759,1.007918982979224
50,0.24,0.97,0.935981273413217,1.004018726586783
50,0.26,0.99,0.9701578304849132,1.0098421695150868
50,0.28,0.97,0.935981273413217,1.004018726586783
50,0.3,0.97,0.935981273413217,1.004018726586783
50,0.32,0.97,0.935981273413217,1.004018726586783
50,0.34,0.98,0.9520810170207759,1.007918982979224
50,0.36,0.95,0.9065371337811178,0.9934628662188821
50,0.38,0.99,0.9701578304849132,1.0098421695150868
50,0.4,0.92,0.8658983556118984,0.9741016443881017
50,0.42,0.96,0.9209215643219727,0.9990784356780272
50,0.44,0.96,0.9209215643219727,0.9990784356780272
50,0.46,1.0,1.0,1.0
50,0.48,0.99,0.9701578304849132,1.0098421695150868
50,0.5,0.96,0.9209215643219727,0.9990784356780272
